Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202105,01,001,3,6,Autauga County                                              ,19,19,6317181,0,0,0,0,0,0,0,0,0,19,19,6317181,0,0,0,0,0,0,0,0,0
202105,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,01,009,3,6,Blount County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,01,021,3,6,Chilton County                                              ,1,1,185481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,01,073,3,6,Jefferson County                                            ,130,130,44978554,1,2,247329,0,0,0,1,8,806718,47,47,17253112,0,0,0,0,0,0,0,0,0
202105,01,075,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,01,081,3,6,Lee County                                                  ,142,142,38155953,0,0,0,0,0,0,1,5,616170,102,102,28527515,0,0,0,0,0,0,0,0,0
202105,01,083,3,6,Limestone County                                            ,43,43,10287479,0,0,0,0,0,0,0,0,0,43,43,10287479,0,0,0,0,0,0,0,0,0
202105,01,089,3,6,Madison County                                              ,411,411,82881086,2,4,337110,0,0,0,1,5,583683,83,83,31236787,0,0,0,0,0,0,0,0,0
202105,01,113,3,6,Russell County                                              ,7,7,1035848,7,14,795879,0,0,0,0,0,0,7,7,1035848,7,14,795879,0,0,0,0,0,0
202105,01,115,3,6,St. Clair County                                            ,50,50,9591122,0,0,0,0,0,0,0,0,0,31,31,6790174,0,0,0,0,0,0,0,0,0
202105,01,117,3,6,Shelby County                                               ,105,105,31675714,0,0,0,0,0,0,0,0,0,102,102,31191851,0,0,0,0,0,0,0,0,0
202105,01,127,3,6,Walker County                                               ,6,6,1147000,0,0,0,0,0,0,0,0,0,6,6,1147000,0,0,0,0,0,0,0,0,0
202105,02,013,4,9,Aleutians East Borough                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,02,016,4,9,Aleutians West Census Area                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,02,020,4,9,Anchorage Municipality                                      ,66,66,21117882,0,0,0,1,4,688376,1,17,2553831,0,0,0,0,0,0,0,0,0,0,0,0
202105,02,050,4,9,Bethel Census Area                                          ,0,0,0,0,0,0,1,3,438028,0,0,0,0,0,0,0,0,0,1,3,438028,0,0,0
202105,02,060,4,9,Bristol Bay Borough                                         ,1,1,307521,0,0,0,0,0,0,0,0,0,1,1,307521,0,0,0,0,0,0,0,0,0
202105,02,070,4,9,Dillingham Census Area                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,02,090,4,9,Fairbanks North Star Borough                                ,6,6,1827453,0,0,0,0,0,0,0,0,0,6,6,1827453,0,0,0,0,0,0,0,0,0
202105,02,100,4,9,Haines Borough                                              ,1,1,121750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,02,105,4,9,Hoonah-Angoon Census Area                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,02,110,4,9,Juneau City and Borough                                     ,4,4,818259,0,0,0,0,0,0,1,5,1034243,4,4,818259,0,0,0,0,0,0,1,5,1034243
