Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201812,01,001,3,6,Autauga County                ,5,5,1611883,0,0,0,0,0,0,0,0,0,5,5,1611883,0,0,0,0,0,0,0,0,0
201812,01,007,3,6,Bibb County                   ,1,1,255129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,01,009,3,6,Blount County                 ,1,1,244798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,01,021,3,6,Chilton County                ,3,3,559429,0,0,0,0,0,0,0,0,0,2,2,395000,0,0,0,0,0,0,0,0,0
201812,01,073,3,6,Jefferson County              ,101,101,31774665,0,0,0,0,0,0,0,0,0,71,71,25712295,0,0,0,0,0,0,0,0,0
201812,01,081,3,6,Lee County                    ,61,61,17607247,1,2,346428,1,4,500000,0,0,0,61,61,17607247,1,2,346428,1,4,500000,0,0,0
201812,01,083,3,6,Limestone County              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,01,089,3,6,Madison County                ,166,166,24774756,0,0,0,0,0,0,0,0,0,124,124,16957470,0,0,0,0,0,0,0,0,0
201812,01,113,3,6,Russell County                ,24,24,3096056,0,0,0,0,0,0,0,0,0,24,24,3096056,0,0,0,0,0,0,0,0,0
201812,01,115,3,6,St. Clair County              ,26,26,3508410,0,0,0,0,0,0,0,0,0,26,26,3508410,0,0,0,0,0,0,0,0,0
201812,01,117,3,6,Shelby County                 ,67,67,14826287,0,0,0,0,0,0,0,0,0,18,18,2784065,0,0,0,0,0,0,0,0,0
201812,01,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,020,4,9,Anchorage Municipality        ,58,58,18168480,0,0,0,1,4,694913,2,19,3003816,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201812,02,110,4,9,Juneau City and Borough       ,1,1,73451,0,0,0,0,0,0,0,0,0,1,1,73451,0,0,0,0,0,0,0,0,0
201812,02,122,4,9,Kenai Peninsula Borough       ,5,5,1015265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
