Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202109,01,001,3,6,Autauga County                                              ,33,33,11558998,0,0,0,0,0,0,0,0,0,33,33,11558998,0,0,0,0,0,0,0,0,0
202109,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,01,009,3,6,Blount County                                               ,1,1,321000,0,0,0,0,0,0,0,0,0,1,1,321000,0,0,0,0,0,0,0,0,0
202109,01,021,3,6,Chilton County                                              ,17,17,2896481,0,0,0,0,0,0,0,0,0,16,16,2711000,0,0,0,0,0,0,0,0,0
202109,01,073,3,6,Jefferson County                                            ,123,123,41051236,0,0,0,0,0,0,1,13,1278323,84,84,25241194,0,0,0,0,0,0,1,13,1278323
202109,01,075,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,01,081,3,6,Lee County                                                  ,114,114,35417571,0,0,0,0,0,0,2,24,860000,80,80,27233399,0,0,0,0,0,0,2,24,860000
202109,01,083,3,6,Limestone County                                            ,58,58,14989941,0,0,0,0,0,0,0,0,0,57,57,14896489,0,0,0,0,0,0,0,0,0
202109,01,089,3,6,Madison County                                              ,328,328,60535197,1,2,168555,0,0,0,1,6,700420,30,30,12440737,0,0,0,0,0,0,0,0,0
202109,01,113,3,6,Russell County                                              ,38,38,5404783,0,0,0,0,0,0,0,0,0,38,38,5404783,0,0,0,0,0,0,0,0,0
202109,01,115,3,6,St. Clair County                                            ,29,29,4866882,0,0,0,0,0,0,0,0,0,5,5,816715,0,0,0,0,0,0,0,0,0
202109,01,117,3,6,Shelby County                                               ,62,62,22678989,0,0,0,0,0,0,0,0,0,60,60,22356414,0,0,0,0,0,0,0,0,0
202109,01,127,3,6,Walker County                                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,013,4,9,Aleutians East Borough                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,016,4,9,Aleutians West Census Area                                  ,0,0,0,1,2,345725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,020,4,9,Anchorage Municipality                                      ,61,61,19518043,0,0,0,1,4,688376,1,18,2704057,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,050,4,9,Bethel Census Area                                          ,1,1,307521,0,0,0,0,0,0,0,0,0,1,1,307521,0,0,0,0,0,0,0,0,0
202109,02,060,4,9,Bristol Bay Borough                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,070,4,9,Dillingham Census Area                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,090,4,9,Fairbanks North Star Borough                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,100,4,9,Haines Borough                                              ,1,1,121750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,105,4,9,Hoonah-Angoon Census Area                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202109,02,110,4,9,Juneau City and Borough                                     ,4,4,1068115,0,0,0,0,0,0,0,0,0,4,4,1068115,0,0,0,0,0,0,0,0,0
