Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201711,01,001,3,6,Autauga County                ,21,21,6154576,0,0,0,0,0,0,0,0,0,21,21,6154576,0,0,0,0,0,0,0,0,0
201711,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,01,009,3,6,Blount County                 ,1,1,349284,0,0,0,0,0,0,0,0,0,1,1,349284,0,0,0,0,0,0,0,0,0
201711,01,021,3,6,Chilton County                ,2,2,200000,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
201711,01,073,3,6,Jefferson County              ,95,95,27809779,0,0,0,0,0,0,2,38,5103351,59,59,20608410,0,0,0,0,0,0,0,0,0
201711,01,081,3,6,Lee County                    ,76,76,21436731,1,2,144250,0,0,0,0,0,0,35,35,9581813,0,0,0,0,0,0,0,0,0
201711,01,083,3,6,Limestone County              ,18,18,4162426,0,0,0,0,0,0,0,0,0,18,18,4162426,0,0,0,0,0,0,0,0,0
201711,01,089,3,6,Madison County                ,190,190,29545417,1,2,217141,0,0,0,0,0,0,190,190,29545417,1,2,217141,0,0,0,0,0,0
201711,01,113,3,6,Russell County                ,19,19,3196810,0,0,0,0,0,0,0,0,0,19,19,3196810,0,0,0,0,0,0,0,0,0
201711,01,115,3,6,St. Clair County              ,11,11,2035025,0,0,0,0,0,0,0,0,0,7,7,1230837,0,0,0,0,0,0,0,0,0
201711,01,117,3,6,Shelby County                 ,94,94,18231163,0,0,0,0,0,0,1,5,767250,44,44,6007951,0,0,0,0,0,0,0,0,0
201711,01,127,3,6,Walker County                 ,1,1,225000,0,0,0,0,0,0,0,0,0,1,1,225000,0,0,0,0,0,0,0,0,0
201711,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,020,4,9,Anchorage Municipality        ,62,62,19426491,0,0,0,2,6,1041561,2,15,2371433,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,070,4,9,Dillingham Census Area        ,0,0,0,1,2,301442,0,0,0,0,0,0,0,0,0,1,2,301442,0,0,0,0,0,0
201711,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,100,4,9,Haines Borough                ,1,1,278570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,02,110,4,9,Juneau City and Borough       ,0,0,0,0,0,0,0,0,0,1,8,2033161,0,0,0,0,0,0,0,0,0,1,8,2033161
201711,02,122,4,9,Kenai Peninsula Borough       ,6,6,1788849,0,0,0,0,0,0,0,0,0,3,3,1130000,0,0,0,0,0,0,0,0,0
