Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201908,01,001,3,6,Autauga County                ,27,27,7311823,0,0,0,0,0,0,0,0,0,27,27,7311823,0,0,0,0,0,0,0,0,0
201908,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,1,3,280000,0,0,0,0,0,0,0,0,0,1,3,280000,0,0,0
201908,01,009,3,6,Blount County                 ,1,1,280000,0,0,0,0,0,0,0,0,0,1,1,280000,0,0,0,0,0,0,0,0,0
201908,01,021,3,6,Chilton County                ,4,4,505000,0,0,0,0,0,0,0,0,0,4,4,505000,0,0,0,0,0,0,0,0,0
201908,01,073,3,6,Jefferson County              ,136,136,43433609,1,2,247329,0,0,0,3,23,2413925,75,75,22688232,0,0,0,0,0,0,0,0,0
201908,01,081,3,6,Lee County                    ,105,105,26796037,2,4,798738,0,0,0,0,0,0,105,105,26796037,2,4,798738,0,0,0,0,0,0
201908,01,083,3,6,Limestone County              ,21,21,4986591,0,0,0,0,0,0,0,0,0,21,21,4986591,0,0,0,0,0,0,0,0,0
201908,01,089,3,6,Madison County                ,257,257,34254550,0,0,0,0,0,0,0,0,0,257,257,34254550,0,0,0,0,0,0,0,0,0
201908,01,113,3,6,Russell County                ,16,16,2815326,0,0,0,0,0,0,0,0,0,16,16,2815326,0,0,0,0,0,0,0,0,0
201908,01,115,3,6,St. Clair County              ,55,55,8937921,0,0,0,0,0,0,0,0,0,54,54,8725643,0,0,0,0,0,0,0,0,0
201908,01,117,3,6,Shelby County                 ,92,92,21844721,0,0,0,0,0,0,0,0,0,30,30,6904916,0,0,0,0,0,0,0,0,0
201908,01,127,3,6,Walker County                 ,8,8,1355865,0,0,0,0,0,0,0,0,0,8,8,1355865,0,0,0,0,0,0,0,0,0
201908,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,02,020,4,9,Anchorage Municipality        ,75,75,23495224,0,0,0,1,4,694790,2,13,2055242,0,0,0,0,0,0,0,0,0,0,0,0
201908,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,02,090,4,9,Fairbanks North Star Borough  ,1,1,326623,0,0,0,2,8,1114084,0,0,0,1,1,326623,0,0,0,2,8,1114084,0,0,0
201908,02,100,4,9,Haines Borough                ,1,1,160842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,282835,0,0,0,0,0,0,0,0,0,1,1,282835,0,0,0,0,0,0,0,0,0
201908,02,110,4,9,Juneau City and Borough       ,6,6,1064949,0,0,0,0,0,0,1,32,1395864,6,6,1064949,0,0,0,0,0,0,1,32,1395864
201908,02,122,4,9,Kenai Peninsula Borough       ,8,8,1470898,0,0,0,0,0,0,0,0,0,4,4,640000,0,0,0,0,0,0,0,0,0
