Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202108,01,001,3,6,Autauga County                                              ,10,10,2935542,0,0,0,0,0,0,0,0,0,10,10,2935542,0,0,0,0,0,0,0,0,0
202108,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,01,009,3,6,Blount County                                               ,2,2,262000,0,0,0,0,0,0,0,0,0,2,2,262000,0,0,0,0,0,0,0,0,0
202108,01,021,3,6,Chilton County                                              ,41,41,6446571,0,0,0,0,0,0,0,0,0,40,40,6261090,0,0,0,0,0,0,0,0,0
202108,01,073,3,6,Jefferson County                                            ,128,128,41465539,0,0,0,0,0,0,0,0,0,88,88,25182322,0,0,0,0,0,0,0,0,0
202108,01,075,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,01,081,3,6,Lee County                                                  ,102,102,29346920,1,2,1570000,0,0,0,2,10,1416170,66,66,20681326,1,2,1570000,0,0,0,1,5,800000
202108,01,083,3,6,Limestone County                                            ,38,38,9091261,0,0,0,0,0,0,0,0,0,38,38,9091261,0,0,0,0,0,0,0,0,0
202108,01,089,3,6,Madison County                                              ,332,332,57100353,1,2,168555,0,0,0,1,9,1050630,19,19,6531889,0,0,0,0,0,0,0,0,0
202108,01,113,3,6,Russell County                                              ,9,9,551488,0,0,0,0,0,0,0,0,0,9,9,551488,0,0,0,0,0,0,0,0,0
202108,01,115,3,6,St. Clair County                                            ,28,28,4648563,0,0,0,0,0,0,0,0,0,10,10,2092615,0,0,0,0,0,0,0,0,0
202108,01,117,3,6,Shelby County                                               ,67,67,21333464,0,0,0,0,0,0,0,0,0,44,44,14019305,0,0,0,0,0,0,0,0,0
202108,01,127,3,6,Walker County                                               ,5,5,750000,0,0,0,0,0,0,0,0,0,5,5,750000,0,0,0,0,0,0,0,0,0
202108,02,013,4,9,Aleutians East Borough                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,016,4,9,Aleutians West Census Area                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,020,4,9,Anchorage Municipality                                      ,68,68,21757818,0,0,0,1,4,688376,2,24,3605409,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,050,4,9,Bethel Census Area                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,060,4,9,Bristol Bay Borough                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,070,4,9,Dillingham Census Area                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,090,4,9,Fairbanks North Star Borough                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,100,4,9,Haines Borough                                              ,1,1,307521,0,0,0,0,0,0,0,0,0,1,1,307521,0,0,0,0,0,0,0,0,0
202108,02,105,4,9,Hoonah-Angoon Census Area                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202108,02,110,4,9,Juneau City and Borough                                     ,6,6,1245482,1,2,375968,0,0,0,0,0,0,6,6,1245482,1,2,375968,0,0,0,0,0,0
