Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201903,01,001,3,6,Autauga County                ,31,31,9415589,0,0,0,0,0,0,0,0,0,31,31,9415589,0,0,0,0,0,0,0,0,0
201903,01,007,3,6,Bibb County                   ,2,2,700000,0,0,0,0,0,0,0,0,0,2,2,700000,0,0,0,0,0,0,0,0,0
201903,01,009,3,6,Blount County                 ,2,2,489597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,01,021,3,6,Chilton County                ,2,2,181332,0,0,0,0,0,0,0,0,0,2,2,181332,0,0,0,0,0,0,0,0,0
201903,01,073,3,6,Jefferson County              ,138,138,45227013,0,0,0,0,0,0,0,0,0,105,105,38167722,0,0,0,0,0,0,0,0,0
201903,01,081,3,6,Lee County                    ,87,87,25377644,1,2,210669,0,0,0,1,30,7843951,34,34,10169423,0,0,0,0,0,0,0,0,0
201903,01,083,3,6,Limestone County              ,37,37,8369242,0,0,0,0,0,0,0,0,0,37,37,8369242,0,0,0,0,0,0,0,0,0
201903,01,089,3,6,Madison County                ,272,272,40547207,0,0,0,0,0,0,0,0,0,272,272,40547207,0,0,0,0,0,0,0,0,0
201903,01,113,3,6,Russell County                ,9,9,1509559,0,0,0,0,0,0,0,0,0,9,9,1509559,0,0,0,0,0,0,0,0,0
201903,01,115,3,6,St. Clair County              ,15,15,2835832,0,0,0,0,0,0,0,0,0,14,14,2614968,0,0,0,0,0,0,0,0,0
201903,01,117,3,6,Shelby County                 ,103,103,22692269,0,0,0,0,0,0,0,0,0,46,46,8956530,0,0,0,0,0,0,0,0,0
201903,01,127,3,6,Walker County                 ,3,3,800000,0,0,0,0,0,0,0,0,0,3,3,800000,0,0,0,0,0,0,0,0,0
201903,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,02,020,4,9,Anchorage Municipality        ,67,67,20987727,0,0,0,1,4,694913,1,13,2055242,0,0,0,0,0,0,0,0,0,0,0,0
201903,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,02,090,4,9,Fairbanks North Star Borough  ,1,1,384146,0,0,0,0,0,0,0,0,0,1,1,384146,0,0,0,0,0,0,0,0,0
201903,02,100,4,9,Haines Borough                ,1,1,278425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201903,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,33382,0,0,0,0,0,0,0,0,0,1,1,33382,0,0,0,0,0,0,0,0,0
201903,02,110,4,9,Juneau City and Borough       ,5,5,718877,0,0,0,0,0,0,0,0,0,5,5,718877,0,0,0,0,0,0,0,0,0
201903,02,122,4,9,Kenai Peninsula Borough       ,6,6,2033481,0,0,0,1,4,800000,0,0,0,5,5,1820000,0,0,0,1,4,800000,0,0,0
