Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202009,01,001,3,6,Autauga County                ,21,21,5985798,0,0,0,0,0,0,0,0,0,21,21,5985798,0,0,0,0,0,0,0,0,0
202009,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,01,009,3,6,Blount County                 ,1,1,30000,0,0,0,0,0,0,0,0,0,1,1,30000,0,0,0,0,0,0,0,0,0
202009,01,021,3,6,Chilton County                ,1,1,270000,0,0,0,0,0,0,0,0,0,1,1,270000,0,0,0,0,0,0,0,0,0
202009,01,073,3,6,Jefferson County              ,155,155,49346247,0,0,0,0,0,0,1,7,705878,65,65,20346702,0,0,0,0,0,0,0,0,0
202009,01,081,3,6,Lee County                    ,91,91,24541685,1,2,429270,1,3,837000,0,0,0,56,56,16330438,0,0,0,1,3,837000,0,0,0
202009,01,083,3,6,Limestone County              ,18,18,4196322,0,0,0,0,0,0,0,0,0,18,18,4196322,0,0,0,0,0,0,0,0,0
202009,01,089,3,6,Madison County                ,417,417,41847390,0,0,0,0,0,0,0,0,0,281,281,13949869,0,0,0,0,0,0,0,0,0
202009,01,113,3,6,Russell County                ,15,15,2901306,0,0,0,0,0,0,6,72,10250347,15,15,2901306,0,0,0,0,0,0,6,72,10250347
202009,01,115,3,6,St. Clair County              ,51,51,7672161,0,0,0,0,0,0,0,0,0,38,38,5182104,0,0,0,0,0,0,0,0,0
202009,01,117,3,6,Shelby County                 ,137,137,34001086,0,0,0,0,0,0,0,0,0,82,82,18270136,0,0,0,0,0,0,0,0,0
202009,01,127,3,6,Walker County                 ,5,5,729580,0,0,0,0,0,0,0,0,0,5,5,729580,0,0,0,0,0,0,0,0,0
202009,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,020,4,9,Anchorage Municipality        ,90,90,28193558,0,0,0,1,4,694844,1,11,1739051,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,070,4,9,Dillingham Census Area        ,1,1,282835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,090,4,9,Fairbanks North Star Borough  ,1,1,334816,0,0,0,0,0,0,0,0,0,1,1,334816,0,0,0,0,0,0,0,0,0
202009,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,02,110,4,9,Juneau City and Borough       ,10,10,2063681,0,0,0,0,0,0,0,0,0,10,10,2063681,0,0,0,0,0,0,0,0,0
202009,02,122,4,9,Kenai Peninsula Borough       ,9,9,2190993,0,0,0,0,0,0,0,0,0,3,3,588000,0,0,0,0,0,0,0,0,0
