Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202110,01,001,3,6,Autauga County                                              ,16,16,5256747,0,0,0,0,0,0,0,0,0,16,16,5256747,0,0,0,0,0,0,0,0,0
202110,01,007,3,6,Bibb County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,01,009,3,6,Blount County                                               ,3,3,355000,0,0,0,0,0,0,0,0,0,3,3,355000,0,0,0,0,0,0,0,0,0
202110,01,021,3,6,Chilton County                                              ,4,4,851481,0,0,0,0,0,0,0,0,0,3,3,666000,0,0,0,0,0,0,0,0,0
202110,01,073,3,6,Jefferson County                                            ,142,142,47250137,1,2,2600000,0,0,0,0,0,0,96,96,29540058,1,2,2600000,0,0,0,0,0,0
202110,01,075,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,01,081,3,6,Lee County                                                  ,111,111,29995411,0,0,0,0,0,0,5,74,10760007,21,21,6734334,0,0,0,0,0,0,0,0,0
202110,01,083,3,6,Limestone County                                            ,55,55,13604747,0,0,0,0,0,0,0,0,0,54,54,13511295,0,0,0,0,0,0,0,0,0
202110,01,089,3,6,Madison County                                              ,322,322,60003173,1,2,168555,0,0,0,1,5,583683,22,22,11503086,0,0,0,0,0,0,0,0,0
202110,01,113,3,6,Russell County                                              ,6,6,1212156,0,0,0,0,0,0,0,0,0,6,6,1212156,0,0,0,0,0,0,0,0,0
202110,01,115,3,6,St. Clair County                                            ,37,37,8665764,0,0,0,0,0,0,0,0,0,34,34,8194490,0,0,0,0,0,0,0,0,0
202110,01,117,3,6,Shelby County                                               ,105,105,35997490,0,0,0,0,0,0,0,0,0,28,28,11440445,0,0,0,0,0,0,0,0,0
202110,01,127,3,6,Walker County                                               ,2,2,240000,0,0,0,0,0,0,0,0,0,2,2,240000,0,0,0,0,0,0,0,0,0
202110,02,013,4,9,Aleutians East Borough                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,02,016,4,9,Aleutians West Census Area                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,02,020,4,9,Anchorage Municipality                                      ,58,58,18558139,0,0,0,1,4,688376,2,24,3605409,0,0,0,0,0,0,0,0,0,0,0,0
202110,02,050,4,9,Bethel Census Area                                          ,0,0,0,0,0,0,2,6,876056,0,0,0,0,0,0,0,0,0,2,6,876056,0,0,0
202110,02,060,4,9,Bristol Bay Borough                                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,02,070,4,9,Dillingham Census Area                                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,02,090,4,9,Fairbanks North Star Borough                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,02,100,4,9,Haines Borough                                              ,1,1,40000,0,0,0,0,0,0,0,0,0,1,1,40000,0,0,0,0,0,0,0,0,0
202110,02,105,4,9,Hoonah-Angoon Census Area                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202110,02,110,4,9,Juneau City and Borough                                     ,6,6,1624279,0,0,0,0,0,0,0,0,0,6,6,1624279,0,0,0,0,0,0,0,0,0
