Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201905,01,001,3,6,Autauga County                ,11,11,3336008,0,0,0,0,0,0,0,0,0,11,11,3336008,0,0,0,0,0,0,0,0,0
201905,01,007,3,6,Bibb County                   ,1,1,255129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201905,01,009,3,6,Blount County                 ,5,5,693000,0,0,0,0,0,0,0,0,0,5,5,693000,0,0,0,0,0,0,0,0,0
201905,01,021,3,6,Chilton County                ,2,2,414429,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
201905,01,073,3,6,Jefferson County              ,134,134,37372130,0,0,0,0,0,0,0,0,0,62,62,20108967,0,0,0,0,0,0,0,0,0
201905,01,081,3,6,Lee County                    ,71,71,20427113,0,0,0,0,0,0,1,6,384526,71,71,20427113,0,0,0,0,0,0,1,6,384526
201905,01,083,3,6,Limestone County              ,20,20,4728138,0,0,0,0,0,0,0,0,0,20,20,4728138,0,0,0,0,0,0,0,0,0
201905,01,089,3,6,Madison County                ,260,260,33417950,0,0,0,15,60,1050000,0,0,0,260,260,33417950,0,0,0,15,60,1050000,0,0,0
201905,01,113,3,6,Russell County                ,16,16,2548085,0,0,0,0,0,0,0,0,0,16,16,2548085,0,0,0,0,0,0,0,0,0
201905,01,115,3,6,St. Clair County              ,11,11,2225906,0,0,0,0,0,0,0,0,0,4,4,756000,0,0,0,0,0,0,0,0,0
201905,01,117,3,6,Shelby County                 ,98,98,24130737,0,0,0,0,0,0,0,0,0,35,35,8959431,0,0,0,0,0,0,0,0,0
201905,01,127,3,6,Walker County                 ,1,1,185000,0,0,0,0,0,0,0,0,0,1,1,185000,0,0,0,0,0,0,0,0,0
201905,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201905,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201905,02,020,4,9,Anchorage Municipality        ,77,77,24120224,0,0,0,1,4,694913,2,17,2687625,0,0,0,0,0,0,0,0,0,0,0,0
201905,02,050,4,9,Bethel Census Area            ,2,2,570356,0,0,0,0,0,0,0,0,0,2,2,570356,0,0,0,0,0,0,0,0,0
201905,02,060,4,9,Bristol Bay Borough           ,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
201905,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201905,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201905,02,100,4,9,Haines Borough                ,1,1,278425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201905,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201905,02,110,4,9,Juneau City and Borough       ,3,3,704407,0,0,0,1,4,456905,0,0,0,3,3,704407,0,0,0,1,4,456905,0,0,0
201905,02,122,4,9,Kenai Peninsula Borough       ,9,9,1934962,1,2,500000,0,0,0,0,0,0,6,6,1283000,1,2,500000,0,0,0,0,0,0
