Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201907,01,001,3,6,Autauga County                ,21,21,5733125,0,0,0,0,0,0,0,0,0,21,21,5733125,0,0,0,0,0,0,0,0,0
201907,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,01,009,3,6,Blount County                 ,2,2,474914,0,0,0,0,0,0,0,0,0,2,2,474914,0,0,0,0,0,0,0,0,0
201907,01,021,3,6,Chilton County                ,1,1,230000,0,0,0,0,0,0,0,0,0,1,1,230000,0,0,0,0,0,0,0,0,0
201907,01,073,3,6,Jefferson County              ,145,145,45908334,1,2,247329,0,0,0,2,19,2010566,115,115,39156829,0,0,0,0,0,0,0,0,0
201907,01,081,3,6,Lee County                    ,126,126,34169461,0,0,0,0,0,0,0,0,0,126,126,34169461,0,0,0,0,0,0,0,0,0
201907,01,083,3,6,Limestone County              ,18,18,4116851,0,0,0,0,0,0,0,0,0,18,18,4116851,0,0,0,0,0,0,0,0,0
201907,01,089,3,6,Madison County                ,270,270,43228556,0,0,0,0,0,0,0,0,0,270,270,43228556,0,0,0,0,0,0,0,0,0
201907,01,113,3,6,Russell County                ,12,12,1951922,0,0,0,0,0,0,0,0,0,12,12,1951922,0,0,0,0,0,0,0,0,0
201907,01,115,3,6,St. Clair County              ,22,22,4301252,0,0,0,0,0,0,0,0,0,14,14,2919010,0,0,0,0,0,0,0,0,0
201907,01,117,3,6,Shelby County                 ,82,82,19717075,0,0,0,0,0,0,0,0,0,21,21,5062016,0,0,0,0,0,0,0,0,0
201907,01,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,020,4,9,Anchorage Municipality        ,79,79,24748303,0,0,0,1,4,694790,2,14,2213338,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,050,4,9,Bethel Census Area            ,5,5,1414175,0,0,0,0,0,0,0,0,0,5,5,1414175,0,0,0,0,0,0,0,0,0
201907,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,090,4,9,Fairbanks North Star Borough  ,4,4,1377952,0,0,0,2,8,1114084,0,0,0,4,4,1377952,0,0,0,2,8,1114084,0,0,0
201907,02,100,4,9,Haines Borough                ,1,1,160842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,02,110,4,9,Juneau City and Borough       ,10,10,1986116,0,0,0,0,0,0,0,0,0,10,10,1986116,0,0,0,0,0,0,0,0,0
201907,02,122,4,9,Kenai Peninsula Borough       ,4,4,1265449,0,0,0,0,0,0,0,0,0,2,2,850000,0,0,0,0,0,0,0,0,0
