Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201904,01,001,3,6,Autauga County                ,26,26,7555895,0,0,0,0,0,0,0,0,0,26,26,7555895,0,0,0,0,0,0,0,0,0
201904,01,007,3,6,Bibb County                   ,2,2,372000,0,0,0,0,0,0,0,0,0,2,2,372000,0,0,0,0,0,0,0,0,0
201904,01,009,3,6,Blount County                 ,3,3,485000,0,0,0,0,0,0,0,0,0,3,3,485000,0,0,0,0,0,0,0,0,0
201904,01,021,3,6,Chilton County                ,4,4,602000,0,0,0,0,0,0,0,0,0,4,4,602000,0,0,0,0,0,0,0,0,0
201904,01,073,3,6,Jefferson County              ,143,143,36798561,0,0,0,0,0,0,0,0,0,77,77,20957750,0,0,0,0,0,0,0,0,0
201904,01,081,3,6,Lee County                    ,130,130,34495561,2,4,639939,0,0,0,1,36,9412741,77,77,19287340,1,2,429270,0,0,0,0,0,0
201904,01,083,3,6,Limestone County              ,16,16,3965403,0,0,0,0,0,0,0,0,0,16,16,3965403,0,0,0,0,0,0,0,0,0
201904,01,089,3,6,Madison County                ,288,288,39395752,0,0,0,0,0,0,0,0,0,288,288,39395752,0,0,0,0,0,0,0,0,0
201904,01,113,3,6,Russell County                ,11,11,1513225,0,0,0,0,0,0,0,0,0,11,11,1513225,0,0,0,0,0,0,0,0,0
201904,01,115,3,6,St. Clair County              ,17,17,2956600,0,0,0,0,0,0,0,0,0,13,13,2140669,0,0,0,0,0,0,0,0,0
201904,01,117,3,6,Shelby County                 ,96,96,21051915,0,0,0,0,0,0,0,0,0,38,38,7066843,0,0,0,0,0,0,0,0,0
201904,01,127,3,6,Walker County                 ,3,3,529299,0,0,0,0,0,0,0,0,0,3,3,529299,0,0,0,0,0,0,0,0,0
201904,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,020,4,9,Anchorage Municipality        ,76,76,23806974,0,0,0,2,6,1042370,2,15,2371433,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,100,4,9,Haines Borough                ,1,1,278425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,350000,0,0,0,0,0,0,0,0,0,1,1,350000,0,0,0,0,0,0,0,0,0
201904,02,110,4,9,Juneau City and Borough       ,16,16,2863384,0,0,0,0,0,0,1,5,977483,16,16,2863384,0,0,0,0,0,0,1,5,977483
201904,02,122,4,9,Kenai Peninsula Borough       ,7,7,1428687,1,2,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
