Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202007,01,001,3,6,Autauga County                ,34,34,11314962,0,0,0,0,0,0,0,0,0,34,34,11314962,0,0,0,0,0,0,0,0,0
202007,01,007,3,6,Bibb County                   ,1,1,145000,0,0,0,0,0,0,0,0,0,1,1,145000,0,0,0,0,0,0,0,0,0
202007,01,009,3,6,Blount County                 ,2,2,350586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,01,021,3,6,Chilton County                ,2,2,150000,0,0,0,0,0,0,0,0,0,2,2,150000,0,0,0,0,0,0,0,0,0
202007,01,073,3,6,Jefferson County              ,165,165,46058801,1,2,247329,0,0,0,1,8,806718,115,115,34139913,0,0,0,0,0,0,0,0,0
202007,01,081,3,6,Lee County                    ,104,104,27658640,2,4,610960,0,0,0,22,275,41879039,70,70,19682000,2,4,610960,0,0,0,21,270,41342278
202007,01,083,3,6,Limestone County              ,71,71,15142923,1,2,162000,18,68,4353000,5,25,1800000,71,71,15142923,1,2,162000,18,68,4353000,5,25,1800000
202007,01,089,3,6,Madison County                ,331,331,54502656,0,0,0,0,0,0,0,0,0,197,197,27005055,0,0,0,0,0,0,0,0,0
202007,01,113,3,6,Russell County                ,4,4,857654,1,2,102254,0,0,0,0,0,0,4,4,857654,1,2,102254,0,0,0,0,0,0
202007,01,115,3,6,St. Clair County              ,36,36,5579286,0,0,0,0,0,0,0,0,0,23,23,3089229,0,0,0,0,0,0,0,0,0
202007,01,117,3,6,Shelby County                 ,152,152,37920746,0,0,0,0,0,0,0,0,0,98,98,22489228,0,0,0,0,0,0,0,0,0
202007,01,127,3,6,Walker County                 ,3,3,576927,0,0,0,0,0,0,0,0,0,3,3,576927,0,0,0,0,0,0,0,0,0
202007,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,02,020,4,9,Anchorage Municipality        ,87,87,27253772,0,0,0,1,4,694844,1,13,2055242,0,0,0,0,0,0,0,0,0,0,0,0
202007,02,050,4,9,Bethel Census Area            ,1,1,296834,0,0,0,0,0,0,0,0,0,1,1,296834,0,0,0,0,0,0,0,0,0
202007,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,02,070,4,9,Dillingham Census Area        ,1,1,282835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,02,105,4,9,Hoonah-Angoon Census Area     ,3,3,890501,0,0,0,0,0,0,0,0,0,3,3,890501,0,0,0,0,0,0,0,0,0
202007,02,110,4,9,Juneau City and Borough       ,3,3,641286,0,0,0,0,0,0,0,0,0,3,3,641286,0,0,0,0,0,0,0,0,0
202007,02,122,4,9,Kenai Peninsula Borough       ,7,7,1460687,0,0,0,0,0,0,0,0,0,3,3,576000,0,0,0,0,0,0,0,0,0
