Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202102,01,001,3,6,Autauga County                ,41,41,14056110,0,0,0,0,0,0,0,0,0,41,41,14056110,0,0,0,0,0,0,0,0,0
202102,01,007,3,6,Bibb County                   ,2,2,417960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,01,009,3,6,Blount County                 ,2,2,350586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,01,021,3,6,Chilton County                ,30,30,3992831,0,0,0,0,0,0,0,0,0,29,29,3799750,0,0,0,0,0,0,0,0,0
202102,01,073,3,6,Jefferson County              ,111,111,35901861,1,2,247329,0,0,0,1,7,705878,78,78,28642184,0,0,0,0,0,0,0,0,0
202102,01,075,3,6,Lamar County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,01,081,3,6,Lee County                    ,133,133,36735049,2,4,853990,1,4,690016,0,0,0,102,102,29462231,2,4,853990,1,4,690016,0,0,0
202102,01,083,3,6,Limestone County              ,21,21,4895709,0,0,0,0,0,0,0,0,0,21,21,4895709,0,0,0,0,0,0,0,0,0
202102,01,089,3,6,Madison County                ,257,257,43167083,0,0,0,0,0,0,13,456,54713849,130,130,16994928,0,0,0,0,0,0,13,456,54713849
202102,01,113,3,6,Russell County                ,8,8,1835830,0,0,0,0,0,0,0,0,0,8,8,1835830,0,0,0,0,0,0,0,0,0
202102,01,115,3,6,St. Clair County              ,28,28,5128931,0,0,0,0,0,0,0,0,0,14,14,2530209,0,0,0,0,0,0,0,0,0
202102,01,117,3,6,Shelby County                 ,149,149,37650535,0,0,0,0,0,0,0,0,0,147,147,37275103,0,0,0,0,0,0,0,0,0
202102,01,127,3,6,Walker County                 ,6,6,862783,0,0,0,0,0,0,0,0,0,6,6,862783,0,0,0,0,0,0,0,0,0
202102,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,020,4,9,Anchorage Municipality        ,82,82,25687464,0,0,0,1,3,521133,2,13,2055242,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,060,4,9,Bristol Bay Borough           ,1,1,115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202102,02,110,4,9,Juneau City and Borough       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
