Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201906,01,001,3,6,Autauga County                ,17,17,5391246,0,0,0,0,0,0,0,0,0,17,17,5391246,0,0,0,0,0,0,0,0,0
201906,01,007,3,6,Bibb County                   ,1,1,186000,0,0,0,0,0,0,0,0,0,1,1,186000,0,0,0,0,0,0,0,0,0
201906,01,009,3,6,Blount County                 ,1,1,40000,0,0,0,0,0,0,0,0,0,1,1,40000,0,0,0,0,0,0,0,0,0
201906,01,021,3,6,Chilton County                ,2,2,474714,0,0,0,0,0,0,0,0,0,1,1,307000,0,0,0,0,0,0,0,0,0
201906,01,073,3,6,Jefferson County              ,122,122,38300360,2,4,494658,0,0,0,1,9,907557,66,66,19390223,0,0,0,0,0,0,0,0,0
201906,01,081,3,6,Lee County                    ,105,105,29242490,1,2,371684,1,4,553719,1,5,573670,55,55,15162334,0,0,0,0,0,0,0,0,0
201906,01,083,3,6,Limestone County              ,13,13,2995090,0,0,0,0,0,0,0,0,0,13,13,2995090,0,0,0,0,0,0,0,0,0
201906,01,089,3,6,Madison County                ,286,286,49780566,0,0,0,0,0,0,0,0,0,282,282,48840371,0,0,0,0,0,0,0,0,0
201906,01,113,3,6,Russell County                ,18,18,2534958,0,0,0,0,0,0,0,0,0,18,18,2534958,0,0,0,0,0,0,0,0,0
201906,01,115,3,6,St. Clair County              ,27,27,5555410,0,0,0,0,0,0,0,0,0,26,26,5343132,0,0,0,0,0,0,0,0,0
201906,01,117,3,6,Shelby County                 ,80,80,18790140,0,0,0,0,0,0,0,0,0,24,24,5206446,0,0,0,0,0,0,0,0,0
201906,01,127,3,6,Walker County                 ,2,2,400000,0,0,0,0,0,0,0,0,0,2,2,400000,0,0,0,0,0,0,0,0,0
201906,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,020,4,9,Anchorage Municipality        ,77,77,24121764,0,0,0,1,4,694790,2,13,2055242,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,050,4,9,Bethel Census Area            ,0,0,0,1,2,345783,0,0,0,0,0,0,0,0,0,1,2,345783,0,0,0,0,0,0
201906,02,060,4,9,Bristol Bay Borough           ,4,4,250000,0,0,0,0,0,0,0,0,0,4,4,250000,0,0,0,0,0,0,0,0,0
201906,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,100,4,9,Haines Borough                ,1,1,160842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,110,4,9,Juneau City and Borough       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,122,4,9,Kenai Peninsula Borough       ,9,9,2316579,0,0,0,0,0,0,1,10,800000,6,6,1700000,0,0,0,0,0,0,1,10,800000
