Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201803,01,001,3,6,Autauga County                ,10,10,3826875,0,0,0,0,0,0,0,0,0,10,10,3826875,0,0,0,0,0,0,0,0,0
201803,01,007,3,6,Bibb County                   ,1,1,235594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,01,009,3,6,Blount County                 ,1,1,283191,0,0,0,0,0,0,0,0,0,1,1,283191,0,0,0,0,0,0,0,0,0
201803,01,021,3,6,Chilton County                ,1,1,100000,0,0,0,0,0,0,5,56,5676300,1,1,100000,0,0,0,0,0,0,5,56,5676300
201803,01,073,3,6,Jefferson County              ,121,121,38044122,0,0,0,0,0,0,0,0,0,84,84,31514868,0,0,0,0,0,0,0,0,0
201803,01,081,3,6,Lee County                    ,91,91,24762794,1,2,144250,0,0,0,0,0,0,39,39,9727288,0,0,0,0,0,0,0,0,0
201803,01,083,3,6,Limestone County              ,12,12,2774951,0,0,0,0,0,0,0,0,0,12,12,2774951,0,0,0,0,0,0,0,0,0
201803,01,089,3,6,Madison County                ,200,200,34531410,0,0,0,8,32,3905933,0,0,0,200,200,34531410,0,0,0,8,32,3905933,0,0,0
201803,01,113,3,6,Russell County                ,18,18,2892349,0,0,0,0,0,0,0,0,0,18,18,2892349,0,0,0,0,0,0,0,0,0
201803,01,115,3,6,St. Clair County              ,7,7,1355184,0,0,0,0,0,0,0,0,0,2,2,371246,0,0,0,0,0,0,0,0,0
201803,01,117,3,6,Shelby County                 ,87,87,21490345,0,0,0,0,0,0,1,6,920700,42,42,9797278,0,0,0,0,0,0,0,0,0
201803,01,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,020,4,9,Anchorage Municipality        ,82,82,25693101,0,0,0,1,4,694374,2,19,3003816,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,060,4,9,Bristol Bay Borough           ,1,1,160000,0,0,0,0,0,0,0,0,0,1,1,160000,0,0,0,0,0,0,0,0,0
201803,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,100,4,9,Haines Borough                ,1,1,278570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201803,02,110,4,9,Juneau City and Borough       ,1,1,152048,0,0,0,0,0,0,0,0,0,1,1,152048,0,0,0,0,0,0,0,0,0
201803,02,122,4,9,Kenai Peninsula Borough       ,12,12,3075829,0,0,0,0,0,0,0,0,0,7,7,1979000,0,0,0,0,0,0,0,0,0
