Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202004,01,001,3,6,Autauga County                ,22,22,6874180,0,0,0,0,0,0,0,0,0,22,22,6874180,0,0,0,0,0,0,0,0,0
202004,01,007,3,6,Bibb County                   ,2,2,475000,0,0,0,0,0,0,0,0,0,2,2,475000,0,0,0,0,0,0,0,0,0
202004,01,009,3,6,Blount County                 ,1,1,124000,0,0,0,0,0,0,0,0,0,1,1,124000,0,0,0,0,0,0,0,0,0
202004,01,021,3,6,Chilton County                ,3,3,275000,0,0,0,0,0,0,0,0,0,3,3,275000,0,0,0,0,0,0,0,0,0
202004,01,073,3,6,Jefferson County              ,110,110,35005328,1,2,247329,0,0,0,1,7,705878,65,65,18484934,0,0,0,0,0,0,0,0,0
202004,01,081,3,6,Lee County                    ,146,146,37342981,1,2,429270,0,0,0,10,281,35611875,122,122,31712412,0,0,0,0,0,0,10,281,35611875
202004,01,083,3,6,Limestone County              ,30,30,6993870,0,0,0,0,0,0,0,0,0,30,30,6993870,0,0,0,0,0,0,0,0,0
202004,01,089,3,6,Madison County                ,260,260,41669458,0,0,0,0,0,0,0,0,0,260,260,41669458,0,0,0,0,0,0,0,0,0
202004,01,113,3,6,Russell County                ,12,12,1776734,0,0,0,0,0,0,0,0,0,4,4,631409,0,0,0,0,0,0,0,0,0
202004,01,115,3,6,St. Clair County              ,17,17,2820847,0,0,0,0,0,0,0,0,0,16,16,2535847,0,0,0,0,0,0,0,0,0
202004,01,117,3,6,Shelby County                 ,99,99,25515018,0,0,0,0,0,0,0,0,0,42,42,9144224,0,0,0,0,0,0,0,0,0
202004,01,127,3,6,Walker County                 ,1,1,400000,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
202004,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202004,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202004,02,020,4,9,Anchorage Municipality        ,51,51,15976349,0,0,0,1,3,521133,1,12,1897147,0,0,0,0,0,0,0,0,0,0,0,0
202004,02,050,4,9,Bethel Census Area            ,5,5,1484169,2,4,691450,0,0,0,0,0,0,5,5,1484169,2,4,691450,0,0,0,0,0,0
202004,02,060,4,9,Bristol Bay Borough           ,1,1,115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202004,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202004,02,090,4,9,Fairbanks North Star Borough  ,1,1,274000,0,0,0,0,0,0,0,0,0,1,1,274000,0,0,0,0,0,0,0,0,0
202004,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202004,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202004,02,110,4,9,Juneau City and Borough       ,2,2,297223,0,0,0,0,0,0,0,0,0,2,2,297223,0,0,0,0,0,0,0,0,0
202004,02,122,4,9,Kenai Peninsula Borough       ,5,5,1263344,0,0,0,0,0,0,0,0,0,3,3,821000,0,0,0,0,0,0,0,0,0
