Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202104,01,001,3,6,Autauga County                ,27,27,8057557,0,0,0,0,0,0,0,0,0,27,27,8057557,0,0,0,0,0,0,0,0,0
202104,01,007,3,6,Bibb County                   ,5,5,1375000,0,0,0,0,0,0,0,0,0,5,5,1375000,0,0,0,0,0,0,0,0,0
202104,01,009,3,6,Blount County                 ,3,3,388000,0,0,0,0,0,0,0,0,0,3,3,388000,0,0,0,0,0,0,0,0,0
202104,01,021,3,6,Chilton County                ,8,8,1190852,0,0,0,0,0,0,0,0,0,7,7,1005371,0,0,0,0,0,0,0,0,0
202104,01,073,3,6,Jefferson County              ,147,147,55220905,1,2,247329,0,0,0,1,11,1109237,106,106,45794011,0,0,0,0,0,0,0,0,0
202104,01,075,3,6,Lamar County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202104,01,081,3,6,Lee County                    ,177,177,48948933,4,8,1400960,0,0,0,0,0,0,135,135,38839073,4,8,1400960,0,0,0,0,0,0
202104,01,083,3,6,Limestone County              ,28,28,10283084,0,0,0,0,0,0,0,0,0,27,27,10189632,0,0,0,0,0,0,0,0,0
202104,01,089,3,6,Madison County                ,356,356,64386215,0,0,0,0,0,0,0,0,0,175,175,18961997,0,0,0,0,0,0,0,0,0
202104,01,113,3,6,Russell County                ,15,15,2982605,0,0,0,0,0,0,0,0,0,15,15,2982605,0,0,0,0,0,0,0,0,0
202104,01,115,3,6,St. Clair County              ,39,39,6307209,0,0,0,0,0,0,0,0,0,10,10,1270415,0,0,0,0,0,0,0,0,0
202104,01,117,3,6,Shelby County                 ,128,128,39332116,0,0,0,0,0,0,0,0,0,102,102,30984226,0,0,0,0,0,0,0,0,0
202104,01,127,3,6,Walker County                 ,4,4,1095000,0,0,0,0,0,0,0,0,0,4,4,1095000,0,0,0,0,0,0,0,0,0
202104,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202104,02,016,4,9,Aleutians West Census Area    ,1,1,307521,0,0,0,0,0,0,0,0,0,1,1,307521,0,0,0,0,0,0,0,0,0
202104,02,020,4,9,Anchorage Municipality        ,75,75,23997593,0,0,0,1,4,688376,2,20,3004508,0,0,0,0,0,0,0,0,0,0,0,0
202104,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202104,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202104,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202104,02,090,4,9,Fairbanks North Star Borough  ,1,1,321364,0,0,0,0,0,0,0,0,0,1,1,321364,0,0,0,0,0,0,0,0,0
202104,02,100,4,9,Haines Borough                ,1,1,121750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202104,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202104,02,110,4,9,Juneau City and Borough       ,8,8,1693370,0,0,0,0,0,0,0,0,0,8,8,1693370,0,0,0,0,0,0,0,0,0
