Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201912,01,001,3,6,Autauga County                ,15,15,4591207,0,0,0,0,0,0,0,0,0,15,15,4591207,0,0,0,0,0,0,0,0,0
201912,01,007,3,6,Bibb County                   ,2,2,355330,0,0,0,0,0,0,0,0,0,2,2,355330,0,0,0,0,0,0,0,0,0
201912,01,009,3,6,Blount County                 ,1,1,175000,0,0,0,0,0,0,0,0,0,1,1,175000,0,0,0,0,0,0,0,0,0
201912,01,021,3,6,Chilton County                ,1,1,90000,0,0,0,0,0,0,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0
201912,01,073,3,6,Jefferson County              ,100,100,37736433,1,2,247329,0,0,0,1,12,1210077,90,90,35839584,0,0,0,0,0,0,0,0,0
201912,01,081,3,6,Lee County                    ,63,63,18463405,1,2,196772,0,0,0,2,207,68816683,63,63,18463405,1,2,196772,0,0,0,2,207,68816683
201912,01,083,3,6,Limestone County              ,20,20,4749134,0,0,0,0,0,0,0,0,0,20,20,4749134,0,0,0,0,0,0,0,0,0
201912,01,089,3,6,Madison County                ,218,218,29577638,1,2,140000,5,20,5750000,0,0,0,154,154,18050418,1,2,140000,5,20,5750000,0,0,0
201912,01,113,3,6,Russell County                ,11,11,1653893,0,0,0,0,0,0,0,0,0,4,4,674844,0,0,0,0,0,0,0,0,0
201912,01,115,3,6,St. Clair County              ,20,20,3297447,0,0,0,0,0,0,0,0,0,13,13,2082343,0,0,0,0,0,0,0,0,0
201912,01,117,3,6,Shelby County                 ,87,87,20477904,0,0,0,0,0,0,0,0,0,37,37,8419619,0,0,0,0,0,0,0,0,0
201912,01,127,3,6,Walker County                 ,2,2,225000,0,0,0,0,0,0,0,0,0,2,2,225000,0,0,0,0,0,0,0,0,0
201912,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,020,4,9,Anchorage Municipality        ,70,70,21928876,0,0,0,1,3,521092,2,18,2845720,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,282835,0,0,0,0,0,0,0,0,0,1,1,282835,0,0,0,0,0,0,0,0,0
201912,02,110,4,9,Juneau City and Borough       ,1,1,238518,0,0,0,0,0,0,0,0,0,1,1,238518,0,0,0,0,0,0,0,0,0
201912,02,122,4,9,Kenai Peninsula Borough       ,3,3,685449,1,2,300000,0,0,0,1,12,400000,1,1,270000,1,2,300000,0,0,0,1,12,400000
