Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201701,01,001,3,6,Autauga County                ,23,23,6077061,0,0,0,0,0,0,0,0,0,23,23,6077061,0,0,0,0,0,0,0,0,0
201701,01,007,3,6,Bibb County                   ,1,1,323863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,01,009,3,6,Blount County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,01,021,3,6,Chilton County                ,2,2,208000,0,0,0,0,0,0,0,0,0,2,2,208000,0,0,0,0,0,0,0,0,0
201701,01,073,3,6,Jefferson County              ,110,110,28345038,0,0,0,0,0,0,2,61,5827322,101,101,26509228,0,0,0,0,0,0,0,0,0
201701,01,083,3,6,Limestone County              ,10,10,1876614,0,0,0,0,0,0,0,0,0,9,9,1749185,0,0,0,0,0,0,0,0,0
201701,01,089,3,6,Madison County                ,163,163,14913642,0,0,0,0,0,0,0,0,0,162,162,14787327,0,0,0,0,0,0,0,0,0
201701,01,113,3,6,Russell County                ,7,7,698310,0,0,0,0,0,0,0,0,0,7,7,698310,0,0,0,0,0,0,0,0,0
201701,01,115,3,6,St. Clair County              ,14,14,2767030,0,0,0,0,0,0,0,0,0,13,13,2546166,0,0,0,0,0,0,0,0,0
201701,01,117,3,6,Shelby County                 ,93,93,19565117,0,0,0,0,0,0,1,12,204000,47,47,8467265,0,0,0,0,0,0,0,0,0
201701,01,127,3,6,Walker County                 ,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
201701,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,020,4,9,Anchorage Borough             ,47,47,14709061,0,0,0,1,3,522682,1,10,1580956,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,020,4,9,Anchorage Municipality        ,47,47,14709061,0,0,0,1,3,522682,1,10,1580956,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201701,02,110,4,9,Juneau Borough                ,2,2,514652,0,0,0,0,0,0,0,0,0,2,2,514652,0,0,0,0,0,0,0,0,0
201701,02,110,4,9,Juneau City and Borough       ,2,2,514652,0,0,0,0,0,0,0,0,0,2,2,514652,0,0,0,0,0,0,0,0,0
