Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202003,01,001,3,6,Autauga County                ,39,39,12270947,0,0,0,0,0,0,0,0,0,39,39,12270947,0,0,0,0,0,0,0,0,0
202003,01,007,3,6,Bibb County                   ,1,1,385000,0,0,0,0,0,0,0,0,0,1,1,385000,0,0,0,0,0,0,0,0,0
202003,01,009,3,6,Blount County                 ,4,4,612457,0,0,0,0,0,0,0,0,0,4,4,612457,0,0,0,0,0,0,0,0,0
202003,01,021,3,6,Chilton County                ,5,5,932812,0,0,0,0,0,0,0,0,0,5,5,932812,0,0,0,0,0,0,0,0,0
202003,01,073,3,6,Jefferson County              ,118,118,39997979,2,4,494658,0,0,0,2,18,1909726,46,46,14156346,0,0,0,0,0,0,0,0,0
202003,01,081,3,6,Lee County                    ,149,149,36680397,0,0,0,1,3,400000,0,0,0,124,124,30678528,0,0,0,1,3,400000,0,0,0
202003,01,083,3,6,Limestone County              ,29,29,6886244,0,0,0,0,0,0,0,0,0,29,29,6886244,0,0,0,0,0,0,0,0,0
202003,01,089,3,6,Madison County                ,327,327,45904075,0,0,0,0,0,0,0,0,0,222,222,25827136,0,0,0,0,0,0,0,0,0
202003,01,113,3,6,Russell County                ,18,18,2345377,0,0,0,0,0,0,0,0,0,9,9,1086600,0,0,0,0,0,0,0,0,0
202003,01,115,3,6,St. Clair County              ,26,26,4426580,0,0,0,0,0,0,0,0,0,17,17,2304795,0,0,0,0,0,0,0,0,0
202003,01,117,3,6,Shelby County                 ,112,112,26010465,0,0,0,0,0,0,0,0,0,35,35,7014165,0,0,0,0,0,0,0,0,0
202003,01,127,3,6,Walker County                 ,4,4,516246,0,0,0,0,0,0,0,0,0,4,4,516246,0,0,0,0,0,0,0,0,0
202003,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,020,4,9,Anchorage Municipality        ,12,12,5297037,0,0,0,0,0,0,0,0,0,12,12,5297037,0,0,0,0,0,0,0,0,0
202003,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202003,02,110,4,9,Juneau City and Borough       ,2,2,620007,0,0,0,0,0,0,0,0,0,2,2,620007,0,0,0,0,0,0,0,0,0
202003,02,122,4,9,Kenai Peninsula Borough       ,8,8,2731579,0,0,0,0,0,0,0,0,0,5,5,2115000,0,0,0,0,0,0,0,0,0
