Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201703,01,001,3,6,Autauga County                ,20,20,5074234,0,0,0,0,0,0,0,0,0,20,20,5074234,0,0,0,0,0,0,0,0,0
201703,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,01,009,3,6,Blount County                 ,2,2,1081000,0,0,0,0,0,0,0,0,0,2,2,1081000,0,0,0,0,0,0,0,0,0
201703,01,021,3,6,Chilton County                ,6,6,675000,0,0,0,0,0,0,0,0,0,6,6,675000,0,0,0,0,0,0,0,0,0
201703,01,073,3,6,Jefferson County              ,143,143,39169293,0,0,0,0,0,0,3,58,5614753,127,127,36230100,0,0,0,0,0,0,1,6,650080
201703,01,081,3,6,Lee County                    ,110,110,30269409,9,18,1806258,0,0,0,0,0,0,110,110,30269409,9,18,1806258,0,0,0,0,0,0
201703,01,083,3,6,Limestone County              ,9,9,2050711,0,0,0,0,0,0,0,0,0,9,9,2050711,0,0,0,0,0,0,0,0,0
201703,01,089,3,6,Madison County                ,315,315,49367781,0,0,0,0,0,0,1,36,1589076,315,315,49367781,0,0,0,0,0,0,1,36,1589076
201703,01,113,3,6,Russell County                ,12,12,1769507,0,0,0,0,0,0,0,0,0,12,12,1769507,0,0,0,0,0,0,0,0,0
201703,01,115,3,6,St. Clair County              ,13,13,2766065,0,0,0,0,0,0,0,0,0,8,8,1728831,0,0,0,0,0,0,0,0,0
201703,01,117,3,6,Shelby County                 ,88,88,21658189,0,0,0,0,0,0,1,10,170000,27,27,6866874,0,0,0,0,0,0,0,0,0
201703,01,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,020,4,9,Anchorage Municipality        ,70,70,21907112,0,0,0,1,3,522682,2,14,2213338,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,050,4,9,Bethel Census Area            ,1,1,350000,0,0,0,0,0,0,0,0,0,1,1,350000,0,0,0,0,0,0,0,0,0
201703,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,110,4,9,Juneau City and Borough       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,122,4,9,Kenai Peninsula Borough       ,5,5,951536,0,0,0,0,0,0,0,0,0,3,3,550000,0,0,0,0,0,0,0,0,0
