Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202006,01,001,3,6,Autauga County                ,27,27,7993603,0,0,0,0,0,0,0,0,0,27,27,7993603,0,0,0,0,0,0,0,0,0
202006,01,007,3,6,Bibb County                   ,1,1,208980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,01,009,3,6,Blount County                 ,2,2,353129,0,0,0,0,0,0,0,0,0,2,2,353129,0,0,0,0,0,0,0,0,0
202006,01,021,3,6,Chilton County                ,5,5,585000,0,0,0,0,0,0,0,0,0,5,5,585000,0,0,0,0,0,0,0,0,0
202006,01,073,3,6,Jefferson County              ,134,134,41897990,2,4,739869,0,0,0,10,213,21736074,91,91,32806175,2,4,739869,0,0,0,8,200,20330546
202006,01,081,3,6,Lee County                    ,103,103,29348076,3,6,1296281,0,0,0,0,0,0,73,73,22309865,2,4,867011,0,0,0,0,0,0
202006,01,083,3,6,Limestone County              ,29,29,6656183,0,0,0,0,0,0,0,0,0,28,28,6527612,0,0,0,0,0,0,0,0,0
202006,01,089,3,6,Madison County                ,278,278,40449263,0,0,0,0,0,0,0,0,0,173,173,19305151,0,0,0,0,0,0,0,0,0
202006,01,113,3,6,Russell County                ,11,11,1777074,0,0,0,0,0,0,0,0,0,11,11,1777074,0,0,0,0,0,0,0,0,0
202006,01,115,3,6,St. Clair County              ,49,49,6240106,0,0,0,0,0,0,0,0,0,41,41,4713350,0,0,0,0,0,0,0,0,0
202006,01,117,3,6,Shelby County                 ,120,120,33147782,0,0,0,0,0,0,0,0,0,71,71,19233411,0,0,0,0,0,0,0,0,0
202006,01,127,3,6,Walker County                 ,10,10,1413697,0,0,0,0,0,0,0,0,0,10,10,1413697,0,0,0,0,0,0,0,0,0
202006,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,020,4,9,Anchorage Municipality        ,79,79,24747678,0,0,0,1,4,694844,1,11,1739051,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,060,4,9,Bristol Bay Borough           ,1,1,115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,1,16,7000000,0,0,0,0,0,0,0,0,0,1,16,7000000
202006,02,110,4,9,Juneau City and Borough       ,4,4,1153243,0,0,0,0,0,0,0,0,0,4,4,1153243,0,0,0,0,0,0,0,0,0
202006,02,122,4,9,Kenai Peninsula Borough       ,9,9,2405336,0,0,0,0,0,0,0,0,0,1,1,360000,0,0,0,0,0,0,0,0,0
