,Date,County_Name,FIPS_Code,Average_Rental_Price
151,2018-05-01,Spokane,53063,945.0
152,2018-05-01,Thurston,53067,1355.0
153,2018-06-01,Benton,53005,
154,2018-06-01,Clark,53011,1392.0
155,2018-06-01,Grant,53025,949.0
156,2018-06-01,King,53033,1800.0
157,2018-06-01,Kitsap,53035,1549.0
158,2018-06-01,Pierce,53053,1381.0
159,2018-06-01,Snohomish,53061,1629.0
160,2018-06-01,Spokane,53063,948.0
161,2018-06-01,Thurston,53067,1390.0
162,2018-07-01,Benton,53005,
163,2018-07-01,Clark,53011,1402.0
164,2018-07-01,Grant,53025,950.0
165,2018-07-01,King,53033,1817.0
166,2018-07-01,Kitsap,53035,1554.0
167,2018-07-01,Pierce,53053,1387.0
168,2018-07-01,Snohomish,53061,1650.0
169,2018-07-01,Spokane,53063,957.0
170,2018-07-01,Thurston,53067,1407.0
171,2018-08-01,Benton,53005,
172,2018-08-01,Clark,53011,1418.0
173,2018-08-01,Grant,53025,940.0
174,2018-08-01,King,53033,1818.0
175,2018-08-01,Kitsap,53035,1550.0
176,2018-08-01,Pierce,53053,1392.0
177,2018-08-01,Snohomish,53061,1650.0
178,2018-08-01,Spokane,53063,956.0
179,2018-08-01,Thurston,53067,1404.0
180,2018-09-01,Benton,53005,
181,2018-09-01,Clark,53011,1421.0
182,2018-09-01,Grant,53025,936.0
183,2018-09-01,King,53033,1809.0
184,2018-09-01,Kitsap,53035,1523.0
185,2018-09-01,Pierce,53053,1389.0
186,2018-09-01,Snohomish,53061,1639.0
187,2018-09-01,Spokane,53063,969.0
188,2018-09-01,Thurston,53067,1378.0
189,2018-10-01,Benton,53005,
190,2018-10-01,Clark,53011,1423.0
191,2018-10-01,Grant,53025,926.0
192,2018-10-01,King,53033,1789.0
193,2018-10-01,Kitsap,53035,1490.0
194,2018-10-01,Pierce,53053,1382.0
195,2018-10-01,Snohomish,53061,1622.0
196,2018-10-01,Spokane,53063,954.0
197,2018-10-01,Thurston,53067,1370.0
198,2018-11-01,Benton,53005,
199,2018-11-01,Clark,53011,1415.0
200,2018-11-01,Grant,53025,954.0
201,2018-11-01,King,53033,1765.0
202,2018-11-01,Kitsap,53035,1474.0
203,2018-11-01,Pierce,53053,1375.0
204,2018-11-01,Snohomish,53061,1605.0
205,2018-11-01,Spokane,53063,947.0
206,2018-11-01,Thurston,53067,1350.0
207,2018-12-01,Benton,53005,
208,2018-12-01,Clark,53011,1408.0
209,2018-12-01,Grant,53025,964.0
210,2018-12-01,King,53033,1754.0
211,2018-12-01,Kitsap,53035,1497.0
212,2018-12-01,Pierce,53053,1365.0
213,2018-12-01,Snohomish,53061,1599.0
214,2018-12-01,Spokane,53063,933.0
215,2018-12-01,Thurston,53067,1337.0
216,2019-01-01,Benton,53005,
217,2019-01-01,Clark,53011,1405.0
218,2019-01-01,Grant,53025,980.0
219,2019-01-01,King,53033,1755.0
220,2019-01-01,Kitsap,53035,1552.0
221,2019-01-01,Pierce,53053,1364.0
222,2019-01-01,Snohomish,53061,1602.0
223,2019-01-01,Spokane,53063,943.0
224,2019-01-01,Thurston,53067,1340.0
225,2019-02-01,Benton,53005,
226,2019-02-01,Clark,53011,1404.0
227,2019-02-01,Grant,53025,968.0
228,2019-02-01,King,53033,1768.0
229,2019-02-01,Kitsap,53035,1606.0
230,2019-02-01,Pierce,53053,1368.0
231,2019-02-01,Snohomish,53061,1616.0
232,2019-02-01,Spokane,53063,947.0
233,2019-02-01,Thurston,53067,1335.0
234,2019-03-01,Benton,53005,
235,2019-03-01,Clark,53011,1416.0
236,2019-03-01,Grant,53025,982.0
237,2019-03-01,King,53033,1789.0
238,2019-03-01,Kitsap,53035,1650.0
239,2019-03-01,Pierce,53053,1394.0
240,2019-03-01,Snohomish,53061,1636.0
241,2019-03-01,Spokane,53063,954.0
242,2019-03-01,Thurston,53067,1356.0
243,2019-04-01,Benton,53005,
244,2019-04-01,Clark,53011,1429.0
245,2019-04-01,Grant,53025,987.0
246,2019-04-01,King,53033,1814.0
247,2019-04-01,Kitsap,53035,1670.0
248,2019-04-01,Pierce,53053,1412.0
249,2019-04-01,Snohomish,53061,1665.0
250,2019-04-01,Spokane,53063,960.0
251,2019-04-01,Thurston,53067,1371.0
252,2019-05-01,Benton,53005,
253,2019-05-01,Clark,53011,1446.0
254,2019-05-01,Grant,53025,1009.0
255,2019-05-01,King,53033,1839.0
256,2019-05-01,Kitsap,53035,1687.0
257,2019-05-01,Pierce,53053,1433.0
258,2019-05-01,Snohomish,53061,1694.0
259,2019-05-01,Spokane,53063,972.0
260,2019-05-01,Thurston,53067,1420.0
261,2019-06-01,Benton,53005,
262,2019-06-01,Clark,53011,1445.0
263,2019-06-01,Grant,53025,994.0
264,2019-06-01,King,53033,1864.0
265,2019-06-01,Kitsap,53035,1694.0
266,2019-06-01,Pierce,53053,1443.0
267,2019-06-01,Snohomish,53061,1718.0
268,2019-06-01,Spokane,53063,992.0
269,2019-06-01,Thurston,53067,1450.0
270,2019-07-01,Benton,53005,
271,2019-07-01,Clark,53011,1451.0
272,2019-07-01,Grant,53025,962.0
273,2019-07-01,King,53033,1882.0
274,2019-07-01,Kitsap,53035,1694.0
275,2019-07-01,Pierce,53053,1446.0
276,2019-07-01,Snohomish,53061,1718.0
277,2019-07-01,Spokane,53063,1002.0
278,2019-07-01,Thurston,53067,1462.0
279,2019-08-01,Benton,53005,
280,2019-08-01,Clark,53011,1452.0
281,2019-08-01,Grant,53025,937.0
282,2019-08-01,King,53033,1887.0
283,2019-08-01,Kitsap,53035,1673.0
284,2019-08-01,Pierce,53053,1447.0
285,2019-08-01,Snohomish,53061,1713.0
286,2019-08-01,Spokane,53063,1004.0
287,2019-08-01,Thurston,53067,1469.0
288,2019-09-01,Benton,53005,
289,2019-09-01,Clark,53011,1451.0
290,2019-09-01,Grant,53025,933.0
291,2019-09-01,King,53033,1875.0
292,2019-09-01,Kitsap,53035,1659.0
293,2019-09-01,Pierce,53053,1448.0
294,2019-09-01,Snohomish,53061,1689.0
295,2019-09-01,Spokane,53063,998.0
296,2019-09-01,Thurston,53067,1446.0
297,2019-10-01,Benton,53005,
298,2019-10-01,Clark,53011,1438.0
299,2019-10-01,Grant,53025,982.0
300,2019-10-01,King,53033,1851.0
301,2019-10-01,Kitsap,53035,1641.0
302,2019-10-01,Pierce,53053,1456.0
303,2019-10-01,Snohomish,53061,1666.0
304,2019-10-01,Spokane,53063,997.0
305,2019-10-01,Thurston,53067,1452.0
306,2019-11-01,Benton,53005,
307,2019-11-01,Clark,53011,1429.0
308,2019-11-01,Grant,53025,1004.0
309,2019-11-01,King,53033,1829.0
310,2019-11-01,Kitsap,53035,1627.0
311,2019-11-01,Pierce,53053,1450.0
312,2019-11-01,Snohomish,53061,1646.0
313,2019-11-01,Spokane,53063,993.0
314,2019-11-01,Thurston,53067,1446.0
315,2019-12-01,Benton,53005,
316,2019-12-01,Clark,53011,1422.0
317,2019-12-01,Grant,53025,1038.0
318,2019-12-01,King,53033,1827.0
319,2019-12-01,Kitsap,53035,1606.0
320,2019-12-01,Pierce,53053,1449.0
321,2019-12-01,Snohomish,53061,1647.0
322,2019-12-01,Spokane,53063,982.0
323,2019-12-01,Thurston,53067,1461.0
324,2020-01-01,Benton,53005,
325,2020-01-01,Clark,53011,1420.0
326,2020-01-01,Grant,53025,1053.0
