,Date,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,state
30,2016-07-01,53061,Snohomish,399500.0,,,1335,,,23.0,,,1148,,,48,,,472,,,0,,,207.58543596295112,,,1996.0,,,489106.8782201405,,,1335,,,0.0,,,0,wa
31,2016-07-01,53063,Spokane,254900.0,,,1890,,,43.0,,,920,,,44,,,540,,,1790,,,107.095046854083,,,2476.0,,,319849.036018009,,,3680,,,0.9470899470899472,,,0,wa
32,2016-07-01,53065,Stevens,229900.0,,,492,,,91.0,,,96,,,0,,,72,,,35,,,122.86458333333331,,,1960.0,,,309742.32608695654,,,527,,,0.0711382113821138,,,0,wa
33,2016-07-01,53067,Thurston,316900.0,,,856,,,38.0,,,432,,,36,,,316,,,1,,,150.19725718579747,,,2152.0,,,373500.6391129032,,,857,,,0.0011682242990654,,,0,wa
34,2016-07-01,53069,Wahkiakum,259900.0,,,29,,,89.0,,,8,,,0,,,0,,,0,,,132.734375,,,2200.0,,,319062.0689655172,,,29,,,0.0,,,0,wa
35,2016-07-01,53071,Walla Walla,264000.0,,,250,,,60.0,,,80,,,0,,,52,,,0,,,135.02304147465438,,,2092.0,,,338587.902173913,,,250,,,,,,0,wa
36,2016-07-01,53073,Whatcom,379000.0,,,895,,,60.0,,,352,,,8,,,240,,,0,,,194.44444444444449,,,1932.0,,,510593.116,,,895,,,,,,0,wa
37,2016-07-01,53075,Whitman,209900.0,,,196,,,74.0,,,48,,,0,,,52,,,5,,,107.22222222222224,,,2016.0,,,234582.64454976303,,,201,,,0.0255102040816326,,,0,wa
38,2016-07-01,53077,Yakima,221900.0,,,503,,,56.0,,,212,,,4,,,116,,,270,,,117.47187293183322,,,1946.0,,,258210.1679389313,,,773,,,0.536779324055666,,,0,wa
39,2016-08-01,53001,Adams,125000.0,,,36,,,81.0,,,8,,,0,,,8,,,2,,,77.34806629834254,,,1513.0,,,147902.9133749134,,,38,,,0.0555555555555555,,,0,wa
40,2016-08-01,53003,Asotin,199950.0,,,116,,,69.5,,,32,,,0,,,24,,,0,,,103.07973276723276,,,2156.0,,,236265.48202614376,,,116,,,,,,0,wa
41,2016-08-01,53005,Benton,292400.0,,,669,,,41.0,,,372,,,12,,,180,,,1,,,132.63147348395836,,,2246.5,,,328936.5096490724,,,670,,,0.0014947683109118,,,0,wa
42,2016-08-01,53007,Chelan,389750.0,,,474,,,74.5,,,144,,,4,,,100,,,7,,,196.54432805446223,,,2094.0,,,532680.0085255998,,,481,,,0.0147679324894514,,,0,wa
43,2016-08-01,53009,Clallam,324900.0,,,616,,,66.5,,,128,,,0,,,84,,,0,,,162.71844911787576,,,1934.0,,,402839.0587654898,,,616,,,,,,0,wa
44,2016-08-01,53011,Clark,379450.0,,,1661,,,37.5,,,868,,,68,,,668,,,76,,,170.62021122385588,,,2295.0,,,468828.82261286816,,,1737,,,0.0457555689343768,,,0,wa
45,2016-08-01,53013,Columbia,149900.0,,,59,,,136.5,,,4,,,0,,,12,,,0,,,85.243553008596,,,1936.5,,,219735.81666666665,,,59,,,,,,0,wa
46,2016-08-01,53015,Cowlitz,269000.0,,,384,,,55.5,,,160,,,0,,,136,,,7,,,129.31055660497393,,,2005.0,,,300337.0952417177,,,391,,,0.0182291666666666,,,0,wa
47,2016-08-01,53017,Douglas,315000.0,,,117,,,59.0,,,44,,,4,,,28,,,3,,,157.24442193813053,,,2180.0,,,413779.3267137564,,,120,,,0.0256410256410256,,,0,wa
48,2016-08-01,53019,Ferry,175000.0,,,121,,,125.0,,,12,,,0,,,8,,,1,,,107.84789644012945,,,1668.0,,,228932.9759878994,,,122,,,0.0082644628099173,,,0,wa
49,2016-08-01,53021,Franklin,250000.0,,,196,,,40.0,,,100,,,8,,,44,,,0,,,123.64058063503846,,,2101.5,,,279063.97100706893,,,196,,,0.0,,,0,wa
50,2016-08-01,53023,Garfield,125000.0,,,22,,,87.5,,,4,,,0,,,0,,,0,,,65.11339237788513,,,1931.0,,,158965.21739130435,,,22,,,,,,0,wa
51,2016-08-01,53025,Grant,224900.0,,,372,,,82.0,,,96,,,0,,,60,,,0,,,124.78101865061468,,,1779.5,,,269724.4919556957,,,372,,,,,,0,wa
52,2016-08-01,53027,Grays Harbor,179450.0,,,519,,,79.5,,,108,,,0,,,112,,,0,,,127.18722346039134,,,1521.0,,,222358.25458693085,,,519,,,,,,0,wa
53,2016-08-01,53029,Island,416950.0,,,504,,,58.5,,,164,,,4,,,144,,,0,,,205.05451834833715,,,2011.0,,,599903.140704154,,,504,,,,,,0,wa
54,2016-08-01,53031,Jefferson,441975.0,,,266,,,79.5,,,60,,,0,,,56,,,0,,,210.38683900747463,,,1970.0,,,524565.5930958458,,,266,,,,,,0,wa
55,2016-08-01,53033,King,554997.5,,,3559,,,24.0,,,2904,,,92,,,1160,,,0,,,276.49783384301736,,,2180.0,,,907032.1398689272,,,3559,,,,,,0,wa
56,2016-08-01,53035,Kitsap,369475.0,,,857,,,38.5,,,484,,,20,,,340,,,0,,,176.06347146584977,,,2107.5,,,501537.24906962784,,,857,,,,,,0,wa
57,2016-08-01,53037,Kittitas,389000.0,,,266,,,64.5,,,80,,,0,,,56,,,1,,,194.0458140246724,,,2080.5,,,620239.259532552,,,267,,,0.0037593984962406,,,0,wa
58,2016-08-01,53039,Klickitat,358500.0,,,118,,,107.5,,,16,,,0,,,16,,,3,,,174.0861996192255,,,2067.5,,,480799.63001652894,,,121,,,0.0254237288135593,,,0,wa
59,2016-08-01,53041,Lewis,214950.0,,,341,,,66.0,,,92,,,0,,,80,,,1,,,125.0,,,1750.5,,,274014.35886533,,,342,,,0.002932551319648,,,0,wa
60,2016-08-01,53043,Lincoln,189500.0,,,100,,,94.0,,,20,,,0,,,12,,,15,,,93.40583700440529,,,1920.5,,,235827.41451346892,,,115,,,0.15,,,0,wa
61,2016-08-01,53045,Mason,239499.5,,,457,,,71.0,,,124,,,8,,,152,,,0,,,151.25965077655087,,,1621.0,,,309709.7254973359,,,457,,,,,,0,wa
62,2016-08-01,53047,Okanogan,272450.0,,,312,,,109.5,,,36,,,0,,,28,,,1,,,167.10059229622658,,,1648.5,,,331793.8454358855,,,313,,,0.0032051282051282,,,0,wa
63,2016-08-01,53049,Pacific,209000.0,,,239,,,87.0,,,32,,,0,,,44,,,2,,,140.72940707770084,,,1440.0,,,249479.22676962256,,,241,,,0.00836820083682,,,0,wa
64,2016-08-01,53051,Pend Oreille,232450.0,,,230,,,91.5,,,28,,,0,,,40,,,44,,,136.46175507572394,,,1873.0,,,379891.45141594985,,,274,,,0.1913043478260869,,,0,wa
65,2016-08-01,53053,Pierce,322475.0,,,2341,,,38.0,,,1320,,,68,,,984,,,1,,,160.70003965304943,,,2116.0,,,428712.61282021966,,,2342,,,0.0004271678769756514,,,0,wa
66,2016-08-01,53055,San Juan,697000.0,,,333,,,127.5,,,40,,,0,,,68,,,0,,,335.7484346815522,,,2131.5,,,1192158.5980648643,,,333,,,,,,0,wa
67,2016-08-01,53057,Skagit,349990.0,,,532,,,53.0,,,228,,,12,,,148,,,0,,,187.48598662437948,,,1933.0,,,480235.3620505335,,,532,,,,,,0,wa
68,2016-08-01,53059,Skamania,356500.0,,,37,,,66.0,,,12,,,0,,,8,,,3,,,162.03703703703704,,,1959.0,,,487864.5299145299,,,40,,,0.081081081081081,,,0,wa
69,2016-08-01,53061,Snohomish,394975.0,,,1514,,,26.5,,,1164,,,40,,,556,,,0,,,206.69004088121736,,,1971.5,,,478176.30475883326,,,1514,,,,,,0,wa
70,2016-08-01,53063,Spokane,249350.0,,,1984,,,43.0,,,896,,,44,,,700,,,1772,,,105.95388707259738,,,2401.0,,,313574.10825647204,,,3756,,,0.8931451612903226,,,0,wa
71,2016-08-01,53065,Stevens,236250.0,,,494,,,93.5,,,80,,,4,,,64,,,40,,,122.84800388045127,,,2052.0,,,317096.7325295424,,,534,,,0.0809716599190283,,,0,wa
72,2016-08-01,53067,Thurston,309475.0,,,896,,,45.5,,,396,,,20,,,344,,,0,,,149.63605935423112,,,2138.5,,,368768.2285435002,,,896,,,,,,0,wa
73,2016-08-01,53069,Wahkiakum,266450.0,,,28,,,64.5,,,4,,,0,,,4,,,0,,,144.0811965811966,,,2225.5,,,317537.25182863115,,,28,,,0.0,,,0,wa
74,2016-08-01,53071,Walla Walla,259450.0,,,229,,,65.0,,,88,,,0,,,68,,,1,,,137.903108604979,,,2085.0,,,350764.59285461623,,,230,,,0.0043668122270742,,,0,wa
75,2016-08-01,53073,Whatcom,389444.0,,,898,,,61.0,,,324,,,20,,,224,,,0,,,194.71610975278455,,,1934.5,,,514311.6085206379,,,898,,,,,,0,wa
76,2016-08-01,53075,Whitman,220000.0,,,186,,,84.5,,,40,,,0,,,36,,,5,,,108.16176470588236,,,2013.0,,,240608.53523844195,,,191,,,0.0268817204301075,,,0,wa
77,2016-08-01,53077,Yakima,222300.0,,,489,,,60.0,,,180,,,4,,,112,,,294,,,117.90397751936214,,,1965.5,,,264936.05824249634,,,783,,,0.6012269938650306,,,0,wa
78,2016-09-01,53001,Adams,134997.0,,,37,,,80.0,,,4,,,0,,,0,,,1,,,92.34457671957672,,,1470.5,,,157215.06410256412,,,38,,,0.027027027027027,,,0,wa
79,2016-09-01,53003,Asotin,206500.0,,,120,,,68.5,,,24,,,0,,,12,,,0,,,106.53113778113776,,,2112.0,,,240114.1918604651,,,120,,,,,,0,wa
80,2016-09-01,53005,Benton,287250.0,,,666,,,44.0,,,292,,,8,,,200,,,1,,,132.59157433056325,,,2247.5,,,326819.4069908735,,,667,,,0.0015015015015015,,,0,wa
81,2016-09-01,53007,Chelan,388500.0,,,462,,,85.5,,,104,,,0,,,92,,,8,,,198.3402489626556,,,2052.0,,,533749.7092035441,,,470,,,0.0173160173160173,,,0,wa
82,2016-09-01,53009,Clallam,324950.0,,,590,,,74.5,,,116,,,4,,,80,,,0,,,164.8324812017358,,,1918.5,,,405833.8169649725,,,590,,,,,,0,wa
83,2016-09-01,53011,Clark,379500.0,,,1659,,,44.5,,,776,,,72,,,624,,,77,,,170.81338697496008,,,2284.0,,,470609.3604587175,,,1736,,,0.0464135021097046,,,0,wa
84,2016-09-01,53013,Columbia,149900.0,,,56,,,144.5,,,4,,,0,,,8,,,0,,,84.69440164355419,,,1896.5,,,220616.46787862215,,,56,,,,,,0,wa
85,2016-09-01,53015,Cowlitz,269450.0,,,385,,,60.0,,,144,,,0,,,108,,,10,,,132.6736253925742,,,1995.0,,,296561.79280538304,,,395,,,0.0259740259740259,,,0,wa
86,2016-09-01,53017,Douglas,329900.0,,,113,,,61.5,,,44,,,0,,,24,,,2,,,155.1176575053998,,,2308.0,,,420386.3924643717,,,115,,,0.0176991150442477,,,0,wa
87,2016-09-01,53019,Ferry,169950.0,,,123,,,140.5,,,8,,,0,,,4,,,0,,,106.51950718685832,,,1680.0,,,228316.3349206349,,,123,,,0.0,,,0,wa
88,2016-09-01,53021,Franklin,249950.0,,,205,,,43.0,,,84,,,4,,,56,,,0,,,124.09240277107662,,,2137.0,,,279832.62088607595,,,205,,,0.0,,,0,wa
89,2016-09-01,53023,Garfield,127450.0,,,23,,,98.5,,,0,,,0,,,0,,,0,,,63.40579710144928,,,1994.0,,,155806.19565217392,,,23,,,,,,0,wa
90,2016-09-01,53025,Grant,230700.0,,,353,,,93.5,,,64,,,0,,,64,,,1,,,124.84402852049912,,,1786.0,,,272781.8621088938,,,354,,,0.0028328611898017,,,0,wa
