,Date,FIPS_CODE,EMP_NO.
185,2018-12-01,53025,41332.0
186,2018-12-01,53033,1225939.0
187,2018-12-01,53035,121951.0
188,2018-12-01,53053,416747.0
189,2018-12-01,53061,415992.0
190,2018-12-01,53065,17480.0
191,2018-12-01,53067,135074.0
192,2019-01-01,53011,229746.0
193,2019-01-01,53025,39962.0
194,2019-01-01,53033,1237219.0
195,2019-01-01,53035,120429.0
196,2019-01-01,53053,411627.0
197,2019-01-01,53061,419903.0
198,2019-01-01,53065,17120.0
199,2019-01-01,53067,133189.0
200,2019-02-01,53011,231510.0
201,2019-02-01,53025,40587.0
202,2019-02-01,53033,1250538.0
203,2019-02-01,53035,120726.0
204,2019-02-01,53053,412628.0
205,2019-02-01,53061,424559.0
206,2019-02-01,53065,17295.0
207,2019-02-01,53067,134047.0
208,2019-03-01,53011,231656.0
209,2019-03-01,53025,41016.0
210,2019-03-01,53033,1251405.0
211,2019-03-01,53035,121405.0
212,2019-03-01,53053,415718.0
213,2019-03-01,53061,425084.0
214,2019-03-01,53065,17336.0
215,2019-03-01,53067,135003.0
216,2019-04-01,53011,230237.0
217,2019-04-01,53025,42610.0
218,2019-04-01,53033,1251786.0
219,2019-04-01,53035,120821.0
220,2019-04-01,53053,413675.0
221,2019-04-01,53061,425179.0
222,2019-04-01,53065,17453.0
223,2019-04-01,53067,134474.0
224,2019-05-01,53011,229984.0
225,2019-05-01,53025,43475.0
226,2019-05-01,53033,1251043.0
227,2019-05-01,53035,121185.0
228,2019-05-01,53053,413822.0
229,2019-05-01,53061,425050.0
230,2019-05-01,53065,17578.0
231,2019-05-01,53067,134289.0
232,2019-06-01,53011,229780.0
233,2019-06-01,53025,46895.0
234,2019-06-01,53033,1253156.0
235,2019-06-01,53035,121225.0
236,2019-06-01,53053,413943.0
237,2019-06-01,53061,425751.0
238,2019-06-01,53065,17550.0
239,2019-06-01,53067,133731.0
240,2019-07-01,53011,230239.0
241,2019-07-01,53025,48618.0
242,2019-07-01,53033,1259570.0
243,2019-07-01,53035,121953.0
244,2019-07-01,53053,416174.0
245,2019-07-01,53061,427842.0
246,2019-07-01,53065,17595.0
247,2019-07-01,53067,133726.0
248,2019-08-01,53011,231545.0
249,2019-08-01,53025,46301.0
250,2019-08-01,53033,1262584.0
251,2019-08-01,53035,122095.0
252,2019-08-01,53053,417751.0
253,2019-08-01,53061,429052.0
254,2019-08-01,53065,17532.0
255,2019-08-01,53067,134263.0
256,2019-09-01,53011,233136.0
257,2019-09-01,53025,46647.0
258,2019-09-01,53033,1263325.0
259,2019-09-01,53035,122573.0
260,2019-09-01,53053,421991.0
261,2019-09-01,53061,429173.0
262,2019-09-01,53065,17759.0
263,2019-09-01,53067,136360.0
